"analyte","n.removals"
"NH4",0
"Chl-a",0
"Color",0
"DO Conc",2
"NOx",0
"TN",0
"TKN",0
"PO4",0
"pH",0
"TP",0
"TSS",0
"Sp Cond",131
"Temp",0
"Turbidity",0
