"analyte","n.removals"
"Chl-a",0
"DO Conc",0
"NH4",0
"TKN",0
"TN",0
"NOx",0
"pH",0
"TP",0
"PO4",0
"Sp Cond",42
"Temp",4
"TSS",0
"Color",0
"Turbidity",0
